"Funding Program Name","Funding Type","Funding Amount/Range","Eligibility Criteria","Application Process","Application Deadline","Industry Focus","Funding Source","Geographical Restrictions","Website/Link to Apply","Contact Information","Required Documents","Duration of Funding/Support","Additional Benefits"
"EXIST Business Start-up Grant (Gründerstipendium)","Grant","€1,000–3,000/month stipend + €10k–30k expenses&#8203;:contentReference[oaicite:48]{index=48}","Students, graduates, scientists in Germany; innovative tech-based startup project; company not yet formed or <1 year","Apply via university or research institute; proposal evaluated by EXIST program managers","No fixed deadline (continuous calls)","Tech, innovative products (all sectors)","Federal Government (BMWK)","Germany-wide (must be based at German university/research)","http://www.exist.de/englisch/","EXIST team (Projektträger Jülich); Email exist@fz-juelich.de","Business plan, project description, CVs, proof of academic status","12 months (stipend period)","Coaching budget (€5k)&#8203;:contentReference[oaicite:49]{index=49}; access to university infrastructure; mentorship"
"EXIST Transfer of Research","Grant","Phase I: up to €250,000; Phase II: up to €180,000&#8203;:contentReference[oaicite:50]{index=50}","Research teams (max 4 members) from universities/research institutes developing high-tech prototypes; spin-off project with significant innovation","Apply via research institution; two-phase proposal (Phase I for R&D, Phase II for startup launch)","Periodic calls (annually)","High-tech, deep-tech (engineering, life sciences, etc.)","Federal Government (BMWK + BMBF)","Germany-wide (must be linked to German research org)","http://www.exist.de/englisch/","EXIST Transfer program office; Email exist-transfer@vdi.de","Detailed project proposal, proof of concept, exploitation plan, CVs","Phase I: 18 months; Phase II: 18 months","Lab and personnel costs covered; coaching included; continued salary for researchers"
"INVEST – Grant for Venture Capital","Grant (for investors)","20% of investment reimbursed (up to €100k per investor, €3M per startup)&#8203;:contentReference[oaicite:51]{index=51}","Private angel investors investing €10k–€500k in an innovative startup (<7 years old); startup must be SME and <50 employees","Startup or investor applies to BAFA for certification; after investment, investor claims grant from BAFA","Rolling application (grant claim within 12 months of investment)","All innovative sectors (startup must be innovative as per BAFA criteria)","Federal Government (BMWK)","Germany-wide (startup must be EU-based, often Germany)","https://www.bafa.de/EN/INVEST/","BAFA INVEST Team; Tel +49 30 346465470; invest@bafa.bund.de","Startup pitch deck and financials (for certification); investment agreement","N/A (one-time grant per investment)","Non-dilutive reward to investor; helps startups attract angels by lowering investor risk"
"High-Tech Gründerfonds (HTGF)","Equity Investment","Initial ~€300k seed equity (typical); up to €600k–€1M including follow-ons&#8203;:contentReference[oaicite:52]{index=52}","High-tech startups ≤3 years old; innovative product in digital, industrial or life sciences; ~€0.5M+ other capital (co-investment usually required)","Online application and pitch to HTGF team; due diligence and term sheet negotiation","No deadline (open year-round)","Digital tech, industrial tech, life sciences, chemistry etc.&#8203;:contentReference[oaicite:53]{index=53}","Public-Private VC Fund (BMWK + KfW + corporates)","Headquarters/branch in Germany required&#8203;:contentReference[oaicite:54]{index=54}","https://www.htgf.de/en/portfolio/","HTGF Bonn Office; Tel +49 228 82300-100; contact@htgf.de","Pitch deck, business plan, financial model, IP details","N/A (equity investment, typically 5–8 year horizon)","Mentoring by HTGF investment managers; access to HTGF network of corporate partners; follow-on funding support"
"Mikrokreditfonds Deutschland (Micro-Loan Fund)","Loan","€1,000 up to €25,000 (microloan)&#8203;:contentReference[oaicite:55]{index=55}","Small startups, micro-businesses and founders who lack collateral; often sole proprietors or very early-stage businesses","Apply through local microfinance partner institutions (list on BMAS website); simple application, personal interview","No deadline (continuous)","All industries (especially for underrepresented founders, creative sector, etc.)","Federal Government (BMAS)","Germany-wide","https://www.mikrokreditfonds.de/","Mikrokreditfonds Hotline via GLS Bank; Tel +49 234 5797-5100","Simple business plan, planned use of funds, ID documents","Repayment term up to 4 years (typically 6-month initial loan, renewable)","Credit-building for borrower; guidance from microfinance institution during loan term"
"ERP-Gründerkredit – StartGeld (KfW)","Loan","Up to €125,000 loan&#8203;:contentReference[oaicite:56]{index=56} at approx. 1–3% interest; KfW covers 80% bank risk","New startups and small businesses <5 years old; investment or working capital needs up to €125k; no minimum equity required","Apply through one’s bank (Hausbank) which forwards application to KfW; business plan required","No deadline (available on demand)","All industries (standard startup financing)","Federal Government via KfW Bank","Germany-wide","https://www.kfw.de/ERP-StartGeld/","KfW Customer Service; Tel 0800 5399001 (free within DE)","Business plan, financial plan, credit history info","5 or 10 year loan; up to 2 grace years (no principal repayment)","Low interest; 80% KfW guarantee makes it easier to obtain bank approval; no collateral required in many cases"
"ERP-Gründerkredit – Universell","Loan","Up to €25 million loan&#8203;:contentReference[oaicite:57]{index=57} (for larger startups/SMEs), interest ~1–2%","Startups/SMEs <5 years old needing larger financing (over €125k); must meet EU SME criteria (<250 employees, <€50M turnover)","Apply via bank to KfW; standard loan application with detailed financials","No deadline","All industries","Federal Government (KfW ERP Fund)","Germany-wide","https://www.kfw.de/ERP-Gründerkredit-Universell/","KfW Bankengruppe Business Customer Service","Business plan, 3-year financial projections, if available past financials","Up to 20 years term (with initial 2–3 years repayment-free)","Low interest, long-term capital for growth; can combine with other public funding; 50% risk share by KfW"
"ERP Digitalisation and Innovation Loan","Loan","€25,000 to €25,000,000 loan&#8203;:contentReference[oaicite:58]{index=58}, up to 100% project finance","Established startups/SMEs of any age undertaking new digitalization or R&D innovation projects in company","Apply through usual bank to KfW; need to demonstrate project qualifies as digital/innovative (per KfW criteria)","No deadline","Tech, IT, manufacturing – any innovation or digitalization project","Federal Government (KfW)","Germany-wide","https://www.kfw.de/inlandsfoerderung/Companies/Innovation/Digitalisierungs-Innovationskredit/","KfW Info Center; Tel 0800 5399001","Project description, investment plan, financials","Up to 10 years loan (with up to 2 years grace)","Favorable fixed interest; can cover full project costs; no cap on company age (unlike StartGeld); encourages modernization"
"State Development Bank Startup Loans","Loan","Varies by state: e.g. up to €10 Mio (Berlin & others)&#8203;:contentReference[oaicite:59]{index=59}; microloans €5k–€50k; interest subsidized","Startups/SMEs in each state; must have business in that state; often <= 5 years operation for startup loans","Apply via state investment bank (e.g. IBB, NRW.BANK, LfA, SAB) or through local bank depending on program; provide business plan","No deadline (ongoing programs)","All industries (some special programs for innovation)","State Government (via state development banks)","State-specific (e.g. only companies in that state)","https://www.foerderdatenbank.de/ (select state programs)","Each state bank (e.g. IBB Berlin tel. +49 30 2125-0, info@ibb.de)","Business plan, financial projections, personal guarantees often needed","Typically 5–10 year terms, some with grace period","Below-market interest rates; some loans include partial debt forgiveness (Tilgungszuschuss) for good performance; can be combined with state guarantees"
"Berliner Startup Stipendium","Grant (Stipend)","Approx. €2,000 per founder per month for 6–12 months (teams of up to 3)","Innovative startup projects in Berlin in pre-seed stage; team linked to a Berlin university or incubator; company not yet founded or <1 year","Apply to participating Berlin universities/incubators (several calls per year); pitch deck and interview","Periodic calls (varies by institution; ~2–4 intakes/year)","Technology, digital, creative sectors","State Government (Berlin, EFRE EU co-funding)","Berlin (startup must be based in Berlin during funding)","https://www.berlin.de/startup-stipendium/","Program offices at e.g. TU Berlin, HU Berlin, etc.","Project description, business model canvas, team CVs","6–12 months stipend period","Co-working space at host institution; mentoring and workshops; networking events"
